COD_FEDERAL,NOMBRE_ESTADO,NOMBRE,PERIODO_ANIO,TASA_ABANDONO_PRIMARIA,INASISTENCIA_3_A_15,CARENCIA_SALUD,INSEG_ALIMENTARIA,INGRESO_MENSUAL_POR_ESTADO,VIVIENDA_PISO_TIERRA,PORCENTAJE_RAZON_INGRESO,VULNERABLE_CARENCIA
,SINALOA,SINALOA,2022,-0.2,44.8,55,18.6,6 646.6,1.7,1.005,32
,SINALOA,SINALOA,2023,-0.2,48.3,55.7,16.2,7 597.8,1.9,0.683,35.5
,SINALOA,SINALOA,2024,0.6,31.6,51.4,14.6,8 074.9,1.5,0.497,34.6
,SONORA,SONORA,2021,0.2,56.6,49.4,15.6,7 840.4,1.8,0.693,28.9
,SONORA,SONORA,2022,0.7,67.9,49.2,17.3,7 425.9,2.3,1.322,26.1
,SONORA,SONORA,2023,0.2,54.8,49.2,15.7,8 431.8,1.8,0.52,32.7
,SONORA,SONORA,2024,0.6,49.5,45.6,12,9 532.5,2.1,0.4,35.8
,TABASCO,TABASCO,2021,0.9,30.2,74.8,18.8,4 750.3,3,10.256,27.9
,TABASCO,TABASCO,2022,0.1,30.5,72,17.7,4 775.7,1.3,9.531,25.9
,TABASCO,TABASCO,2023,0.6,35.6,73,18,5 361.7,3.1,8.643,33.6
,TABASCO,TABASCO,2024,0.6,36.6,70.7,17.1,6 382.4,1.9,3.771,39.4
,TAMAULIPAS,TAMAULIPAS,2021,0.2,68.1,51.4,14.4,6 563.1,0.9,1.21,23.2
,TAMAULIPAS,TAMAULIPAS,2022,0,92.1,50.5,15,6 195.3,0.9,1.666,21
,TAMAULIPAS,TAMAULIPAS,2023,0.1,80.6,52.2,14.3,7 185.5,1.3,1.084,27.8
,TAMAULIPAS,TAMAULIPAS,2024,0.5,67.5,50.7,9.2,7 977.8,0.9,0.52,32
,TLAXCALA,TLAXCALA,2021,0.9,24,75.4,22.2,4 739.2,0.7,3.298,23.7
,TLAXCALA,TLAXCALA,2022,-0.5,22.6,75.5,25.8,3 938.5,1,11.566,18.2
,TLAXCALA,TLAXCALA,2023,-0.1,25.1,74.9,21.9,4 460.8,1.2,8.043,21
,TLAXCALA,TLAXCALA,2024,0.2,15.5,72.1,17.9,5 368.2,1,3.847,29
,VERACRUZ,VERACRUZ,2021,1.4,175.6,77.2,28.1,4 092.6,6.9,15.076,20.7
,VERACRUZ,VERACRUZ,2022,0.3,231.1,78.1,27.6,4 164.4,5.1,12.562,21.7
,VERACRUZ,VERACRUZ,2023,0.5,173.1,74.4,22.9,4 968.6,5.6,10.922,26.7
,VERACRUZ,VERACRUZ,2024,0.8,163.9,73.2,17.6,5 336.5,5,6.291,29.5
,YUCATAN,YUCATAN,2021,-0.2,29.2,67.5,20.3,6 147.3,0.9,3.14,26.9
,YUCATAN,YUCATAN,2022,1.7,33.9,68.6,23.1,5 441.4,1,6.617,22.1
,YUCATAN,YUCATAN,2023,2.9,26.8,65.7,17.8,6 437.8,0.6,3.254,30.2
,YUCATAN,YUCATAN,2024,-3.8,24.4,61.9,16.5,7 810.6,1,1.439,36.6
,ZACATECAS,ZACATECAS,2021,0.8,33,69.2,19.9,4 667.4,0.8,2.666,24
,ZACATECAS,ZACATECAS,2022,0.3,45.8,70.5,20.6,5 261.1,0.8,2.303,25.5
,ZACATECAS,ZACATECAS,2023,0.6,39.8,68.6,16.3,5 191.5,0.6,3.473,26.4
,ZACATECAS,ZACATECAS,2024,1.2,27.3,66.1,13.7,5 806.4,0.6,1.762,29.1
